[ 2025-08-10 11:29:11,980 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-10 11:29:16,385 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-10 11:29:16,385 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-10 11:29:16,386 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-10 11:29:16,460 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-10 11:29:16,461 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-10 11:29:16,501 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-10 11:29:16,634 ] 32 root - INFO - Required number of columns:2
[ 2025-08-10 11:29:16,641 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-10 11:29:16,641 ] 32 root - INFO - Required number of columns:2
[ 2025-08-10 11:29:16,642 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-10 11:29:16,883 ] 28 root - INFO - data Validation Completed
[ 2025-08-10 11:29:16,884 ] 31 root - INFO - data Transformation started
[ 2025-08-10 11:29:16,884 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-10 11:29:16,884 ] 65 root - INFO - Starting data transformation
[ 2025-08-10 11:29:16,930 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-10 11:29:16,930 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-10 11:29:16,949 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-10 11:29:16,953 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-10 11:29:16,953 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-10 11:29:16,956 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-10 11:29:16,958 ] 35 root - INFO - data Transformation completed
